ENTITY1	ENTITY2	PROBABILITY	LABEL
155971	920	1.0	1
1234	155971	1.0	0
156110	920	1.0	1
155971	1234	1.0	1
155971	7852	0.999999999996	1
920	155971	0.999999952141	0
155945	684	0.99999994886	1
155971	28299	0.999993263148	0
155945	920	0.999969949041	0
155971	7040	0.999954867564	1
155459	60489	0.999844751972	0
155030	925	0.999788424336	0
155871	1673	0.999743670894	1
155971	821	0.999563402696	0
155971	3107	0.99904126	1
155971	4360	0.998789673207	0
155971	2187	0.998582234763	0
156110	940	0.998368583201	1
155971	834	0.9973757	1
4153	155971	0.9969561	0
155971	5599	0.995958114052	1
155971	925	0.995416632432	0
155971	6347	0.99422016063	1
156110	29110	0.993523077689	0
3091	155807	0.992034786927	0
155807	3091	0.991764979312	1
10015	155030	0.990540708752	0
4734	155030	0.9903104	1
155807	4790	0.990161774566	1
155971	801	0.989903629125	0
155807	9564	0.989524158288	0
155971	3458	0.988723155196	1
155971	1524	0.9876518	0
155971	4513	0.98689365	0
156110	356	0.986231717324	1
155971	94025	0.9858073	0
148362	155030	0.98454386	0
8065	155459	0.983703422358	0
155971	100	0.98287994	1
156110	3055	0.981354912341	1
8743	155971	0.9810579466	0
3055	156110	0.980385782633	0
156110	3932	0.978257613954	1
10399	156110	0.976131609219	0
155971	30835	0.961351686304	0
155971	1803	0.959153820753	0
347376	155030	0.957223645314	0
155971	28981	0.9566169	0
155807	3725	0.95580265536	1
156110	2534	0.951910783172	0
155908	1653	0.944152849871	0
155908	7514	0.943562359634	0
5478	155030	0.942868325494	0
156110	22914	0.93440431044	0
155030	3106	0.934333594681	1
7852	155971	0.93124123021	0
155971	3384	0.9235879	0
155871	7422	0.917925944112	1
920	155945	0.917085047739	0
4738	155945	0.911563796827	0
155971	4780	0.908518553928	1
920	156110	0.906424011067	0
155971	818	0.900464759288	0
155971	6693	0.892511568389	0
7124	156110	0.887230737083	0
155807	3612	0.88440932918	0
925	155971	0.879131240985	0
155971	7124	0.87912198958	1
821	155971	0.873586164913	0
155971	19	0.86648005	0
155030	920	0.862690629809	0
155945	22914	0.860056826198	0
155971	3385	0.856562021206	0
3612	155807	0.847803901367	0
155971	3700	0.833285681427	0
155459	865	0.831477703176	1
155030	29082	0.825187059663	0
10959	155030	0.823141536752	0
155459	200316	0.820856335868	0
156110	684	0.810150825791	1
156110	6285	0.809820299533	0
5886	155807	0.807020504015	0
7514	155908	0.804921955564	1
1029	155030	0.800826238083	0
60489	155459	0.797332244668	0
3932	156110	0.787147063739	0
156110	3606	0.780132289487	0
155971	6351	0.76905566	1
155030	10959	0.768018851797	0
1755	155971	0.76526076	0
155971	1232	0.75975496	0
155971	5122	0.748474251846	0
155971	3558	0.74085957	1
156110	7852	0.722399902464	1
155908	728378	0.715257213022	0
155807	5713	0.7081942	0
4360	155971	0.707060371694	0
155030	3735	0.695531839617	0
155971	2	0.68998885	0
155971	10714	0.667050648131	0
356	156110	0.651933891486	0
30835	155971	0.646319731169	1
1236	155971	0.6434521	0
155971	1236	0.6434521	1
684	156110	0.642756117685	0
3106	155030	0.633538408783	0
1984	155908	0.625660457138	0
156110	100313781	0.6216956	0
155807	3916	0.6097282	0
6402	155971	0.609582859766	0
156110	238	0.6062843	1
818	155971	0.605364130054	0
155971	7020	0.59980523484	0
1653	155908	0.59336292235	0
155030	5478	0.58795822856	0
155971	7474	0.586246557101	1
