E1	E2	Probability	Label
155459	60489	1.0	1
202559	155908	0.31225705	0
302	155030	0.46762493663659654	0
3107	156110	0.8575486260255596	0
3458	156110	0.013241898	0
155030	4261	0.00026725876	0
4594	156110	1.8148352e-08	0
4734	155030	8.49222e-06	0
3576	155971	3.6998077e-07	0
155908	1653	0.9971910492221532	0
155030	5594	0.04512773264796999	0
155971	3576	0.010142047	1
155459	6921	0.9821340049676882	0
155971	1272	0.0036839445	0
155908	7514	0.6836769211848157	0
1673	155871	7.063842305088386e-06	0
155971	26996	0.0018104411	0
156110	356	0.223254983752452	0
155459	8065	0.9999476255211829	0
3958	155871	0.7787770084285727	0
6714	156110	0.0010174279	0
156110	3458	0.013241898	1
100187828	155871	1.1792052e-05	0
155945	684	1.0	1
155030	51014	1.6531305e-14	0
156110	1493	0.013464222992926045	1
10462	155030	0.023185998591829238	0
3836	155807	0.01935092812260264	0
1508	155030	0.3069473341644332	0
10959	155030	0.9891685425174319	0
684	155971	0.0048578507	0
917	156110	0.009325419	0
3661	155945	0.28986511509318935	0
155971	6347	0.9974432629262848	1
155030	4314	0.0013836774	0
156110	6347	0.04577011	1
19	155971	6.531355e-06	0
155971	115362	0.998928024080648	0
7852	156110	0.0008122293511166889	0
155971	6351	0.035796326	1
6998	155971	0.058931686	0
155030	100862696	0.3406358247643272	0
2028	155908	0.00014567243	0
155807	4790	0.05359575176218656	1
347376	155030	0.9984346780565022	0
3502	155971	3.2582068481334936e-05	0
60489	155459	0.9999999235805981	0
100616444	155030	0.6134174188046261	0
155030	10015	0.21976087019066692	0
54106	155971	0.0027298746	0
155030	148362	1.9281438e-06	0
156110	7124	0.3795924699692126	1
100689229	155030	0.0011746752564095742	0
155030	100689229	0.0010975126650071276	0
155030	27074	6.082087e-06	0
155030	10521	0.005360059	0
155030	100616444	0.9996525514573342	0
1387	155971	1.9856021e-05	0
155945	5817	0.9270468350538448	1
6285	155908	0.727390840930854	0
155971	801	0.999999999764812	0
310	155030	1.0279705e-05	0
1493	156110	0.0014879104657945508	0
155971	28910	0.5569926	0
155971	3586	0.00012044458713189599	1
6596	155807	0.991824319375088	0
155971	4153	1.1530458e-06	0
3732	155030	2.6718521e-06	0
155971	974	0.0043234173	1
861	155459	0.15471826179174875	0
156110	238	0.98486656	0
1421	155030	0.00030076914	0
156110	3106	0.9523984600401885	1
155971	3502	0.02586179771999786	0
156110	5599	0.005013742	1
79966	155971	0.0030384087	0
155971	6387	0.9996817914099474	1
155807	3916	0.9999913	1
653820	155807	7.670597e-05	0
156110	256987	0.9999054784491366	1
821	155971	0.0015465161998867716	0
155971	4780	0.9398574221142199	0
155030	684	0.00016906284	0
155030	1629	0.001849570397813305	0
